0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2015-01-30,5559.45,5313.37,5233.88,5189.89,5424.98,6121.25,6940.77,7201.02,7497.2,7461.05,7989.8,7049.22,6696.4,7184.95,7381.05,7918.9,8816.47,9335.16,8429.34,7930.87,7468.98,6523.22,6043.31,5588.68
2015-02-02,4904.52,4749.58,4734.54,4695.47,4728.83,5787.25,6718.48,7038.36,7317.43,7415.77,8075.87,7038.24,6581.57,6993.36,7312.4,7530.24,8740.28,9680.83,8893.21,8497.59,8030.67,7261.36,6048.51,5524.84
2015-02-03,5471.07,5216.47,5222.26,5130.56,5147.82,6115.12,7016.77,7311.66,7461.54,7559.54,8141.63,7018.32,6731.82,7149.23,7263.1,7716.56,9164.83,10010.34,8982.13,8109.55,7473.85,6721.64,5964.29,5289.75
2015-02-04,5188.44,5120.27,5080.91,5008.67,5177.18,6012.63,6789.73,7120.17,7371.43,7374.42,7913.09,7020.35,6656.39,6971.09,7271.75,7724.08,9175.66,9630.94,8554.22,7607.94,7246.79,6355.09,5757.32,5207.25
2015-02-05,4928.25,4783.01,4958.87,5200.28,5986.03,6742.45,7171.81,7572.79,7573.87,8017.92,7096.61,6612.61,6873.24,7254.62,7589.12,8985.24,9671.13,8687.23,8270.6,7412.7,6440.34,5966.36,5792.9,4783.01
2015-02-06,5325.72,5043.11,5027.86,4916.4,5134.2,5916.58,7143.24,7253.82,7400.23,7307.74,7863.0,6930.86,6623.73,6980.15,7219.71,7517.23,8639.49,9190.38,8589.26,7735.79,7322.41,6482.92,5901.49,5336.16
2015-02-09,4661.1,4463.43,4527.86,4489.02,4964.94,5747.85,6544.69,6747.28,7163.34,7333.73,7929.68,6965.08,6433.07,6992.51,6963.12,7466.11,8670.26,9387.15,8831.95,7812.52,7234.14,6436.84,5663.44,5270.93
2015-02-10,4959.02,4855.23,4815.29,4868.91,5013.55,5812.02,6601.16,6888.15,7169.33,7293.9,7738.75,6696.6,6634.42,6757.01,6839.0,7239.3,8484.12,9224.93,8816.03,7836.64,7236.63,6743.73,5742.48,5015.81
2015-02-11,4783.59,4788.66,4693.23,4669.11,4920.35,5758.35,6674.09,6960.78,7392.89,7471.3,7832.99,6895.27,6606.58,6659.35,7021.03,7496.11,8499.52,9142.42,8404.01,8043.41,7655.84,6263.9,5569.87,4890.24
2015-02-12,4653.79,4260.2,4265.18,4106.29,4189.24,5105.51,6282.2,6154.96,6686.97,6420.03,7145.66,6345.47,5834.56,6152.41,6336.52,6890.68,7772.81,8627.84,8583.86,7399.95,6856.7,6140.08,5084.99,4923.93
2015-02-13,4553.91,4533.69,4493.34,4574.24,4734.12,5696.08,6352.12,6526.4,6578.76,6732.28,7231.16,6545.46,6183.11,6193.08,6378.85,6749.42,8130.69,8503.49,7833.26,7247.53,6767.7,6035.44,5432.54,5300.49
2015-02-16,3850.88,3765.15,3735.54,3709.5,3897.99,4441.14,5285.0,5344.03,5302.45,5280.36,5742.58,5414.81,4984.55,5011.4,5163.01,5311.3,6147.73,7214.71,7219.2,6569.32,6216.67,5370.48,4691.04,3879.12
2015-02-17,3670.02,3598.12,3609.34,3618.08,3944.05,4416.81,5077.6,5053.91,4913.42,4936.63,5444.5,5076.81,4651.08,4669.86,4842.59,5183.15,6194.02,7108.41,6960.45,6514.35,5995.87,5292.03,4454.71,3850.14
2015-02-18,3532.2,3341.01,3353.05,3399.73,3367.99,4030.1,4956.86,5177.17,5171.92,5093.8,5249.83,5055.99,4933.07,5269.6,5636.54,6333.74,6947.6,7349.99,7528.6,7475.95,7253.72,6679.88,6213.42,5554.05
2015-02-19,4749.38,4014.45,3532.45,3424.23,3601.73,4271.5,5369.41,5502.46,5243.2,4632.0,4345.6,4503.77,4024.0,4025.67,4123.67,4348.8,4896.91,5893.71,6187.99,5915.17,5338.44,4779.7,4320.43,3820.54
2015-02-20,3430.4,3285.25,3287.69,3262.17,3295.17,3898.47,5478.89,5591.7,5119.48,4432.41,4474.53,4444.47,4171.43,4126.51,4278.0,4588.97,4973.98,6054.0,6289.95,5934.81,5615.87,5101.28,4400.89,3833.42
2015-02-23,3606.78,3509.34,3463.24,3476.31,3582.69,4149.6,4862.44,5139.1,5148.85,5097.11,5506.75,5282.07,4830.6,4845.39,5015.88,5522.09,6255.76,7100.64,7093.01,6603.42,5861.45,5291.06,4574.04,4023.2
2015-02-24,3857.39,3787.84,3762.63,3832.76,4154.68,4721.26,5547.44,5698.57,5960.6,6171.71,6722.82,6239.51,5787.39,5993.18,6208.77,6444.49,7203.18,8223.75,8144.9,7293.22,6794.06,5973.08,5241.71,4968.38
2015-02-25,4646.63,4533.94,4560.74,4549.58,4741.61,5223.79,5997.94,6275.97,6515.66,6658.74,7300.11,6589.36,6136.0,6435.9,6711.75,6994.3,7901.25,8583.96,8261.67,7473.21,7039.09,6006.78,5421.65,5058.16
2015-02-26,4875.65,4800.27,4778.89,4751.89,4860.48,5556.29,6153.5,6541.3,6973.07,7170.29,7441.43,6855.37,6441.13,6698.95,6910.97,7258.73,8228.18,8895.04,8537.46,7650.97,7183.35,6343.16,5631.36,5217.68
2015-02-27,5010.83,4942.39,4907.9,4859.98,5080.59,5801.84,6328.6,6807.85,7047.34,7081.47,7515.15,6559.92,6408.34,6810.51,6746.27,7259.43,8374.8,8909.69,8465.52,7725.65,7228.27,6580.34,5968.67,5321.25
2015-03-02,4576.53,4443.37,4428.26,4426.48,4566.72,4851.01,6107.05,6319.64,6875.77,7005.32,7618.1,6611.97,6495.42,6533.56,6745.64,7071.68,8234.76,8756.03,8417.28,7590.48,6815.33,6047.93,5583.95,5231.41
2015-03-03,4881.52,4844.97,4800.35,4806.07,5147.64,6314.97,6416.0,7063.6,7203.45,7501.11,7963.1,6764.47,6578.72,6949.55,7163.86,7483.26,8710.27,9321.81,8731.57,7619.3,6978.42,6137.53,5587.77,5322.32
2015-03-04,5060.81,5064.37,4992.91,4981.35,5384.27,6139.35,6460.88,6783.54,7282.02,7599.23,8199.42,6709.0,6443.75,6826.48,7288.76,7462.12,8828.09,9285.0,8605.6,7740.03,7225.31,6472.05,5877.52,5264.18
2015-03-05,5005.73,5026.17,4926.39,4983.24,5194.28,5953.42,6771.22,7071.5,7591.72,7553.61,7613.46,6958.09,6634.72,6860.03,7196.7,7581.17,9121.86,9104.97,8370.47,7669.78,7279.93,6448.9,5956.01,5196.08
2015-03-06,5179.64,5087.9,4991.21,5024.13,5137.81,5778.99,6601.74,6979.9,7400.75,7418.56,7755.99,6918.36,6359.84,6781.54,7085.81,7521.21,9015.78,9148.51,8322.43,7624.77,7087.92,6382.28,5800.5,5262.96
2015-03-09,4871.35,4773.62,4747.77,4650.98,4663.59,5893.8,6397.07,6907.69,7375.71,7459.73,8078.27,7006.26,6635.18,7039.85,7276.15,7598.48,9012.76,9479.24,8712.67,8120.84,7611.11,6656.11,6175.81,5580.73
